"zcta","median_income","total_population","total_male_population","median_age","hispanic","white","black","asian","indigenous"
"ZCTA5 41169",65417,5353,2507,42.9,0,5111,29,8,0
"ZCTA5 41171",35563,4879,2950,41.1,9,4620,213,0,0
"ZCTA5 41174",67344,843,371,48.9,0,798,0,0,0
"ZCTA5 41175",47857,5515,2506,41.7,11,5413,5,0,0
"ZCTA5 41179",35017,6927,3247,43.9,4,6776,4,0,0
"ZCTA5 41180",32847,755,448,58.4,0,751,0,0,1
"ZCTA5 41181",NA,93,7,33.4,0,93,0,0,0
"ZCTA5 41183",60972,1722,851,37.1,59,1577,91,3,0
"ZCTA5 41189",49375,2168,1225,42.9,0,2006,0,24,0
"ZCTA5 41201",103272,254,143,39.2,0,250,0,0,0
"ZCTA5 41203",NA,680,381,39.4,0,566,2,0,0
"ZCTA5 41204",45573,737,399,38.4,21,708,0,0,0
"ZCTA5 41214",NA,1623,1398,34.9,206,662,705,10,50
"ZCTA5 41216",38558,1412,796,32.7,6,1395,0,0,0
"ZCTA5 41219",31429,1921,882,39.8,0,1882,0,0,0
"ZCTA5 41222",39675,2845,1521,48,0,2808,4,0,0
"ZCTA5 41224",41356,3375,1652,50.9,0,3276,0,0,45
"ZCTA5 41226",NA,322,157,36.5,0,322,0,0,0
"ZCTA5 41230",47004,12346,6186,42.4,245,11882,31,66,0
"ZCTA5 41231",46716,1062,578,47.3,0,1062,0,0,0
"ZCTA5 41232",35556,641,241,45.8,0,641,0,0,0
"ZCTA5 41234",NA,521,228,44.9,0,521,0,0,0
"ZCTA5 41238",42708,781,474,41.1,0,781,0,0,0
"ZCTA5 41240",46090,6520,3111,46,13,6280,23,141,0
"ZCTA5 41250",42446,901,461,59.1,0,870,0,0,0
"ZCTA5 41254",48299,701,408,23.5,0,701,0,0,0
"ZCTA5 41255",45000,622,364,49,0,609,0,0,0
"ZCTA5 41256",68333,2189,900,41.5,34,2058,0,0,0
"ZCTA5 41257",44670,708,409,44.9,0,708,0,0,0
"ZCTA5 41260",60742,847,480,51.3,0,733,35,79,0
"ZCTA5 41262",73235,1417,753,22.9,0,1417,0,0,0
"ZCTA5 41263",60063,326,169,37.4,0,320,0,0,0
"ZCTA5 41264",61216,705,284,44.1,0,705,0,0,0
"ZCTA5 41265",29519,1024,591,42.7,54,911,41,0,12
"ZCTA5 41267",NA,1681,836,26.8,0,1512,32,0,0
"ZCTA5 41268",76339,1058,544,29.3,0,1009,0,49,0
"ZCTA5 41271",NA,219,101,28.9,0,219,0,0,0
"ZCTA5 41274",NA,500,158,38.8,0,477,0,0,0
"ZCTA5 41301",29316,5721,2965,41.3,0,5657,6,5,0
"ZCTA5 41310",NA,0,0,NA,0,0,0,0,0
"ZCTA5 41311",31620,6446,3711,40.1,171,5863,149,10,14
"ZCTA5 41314",38201,4495,2189,48.6,30,4116,54,6,0
"ZCTA5 41317",22708,467,213,51.6,0,467,0,0,0
"ZCTA5 41332",60708,1056,561,50.1,0,1041,0,0,0
"ZCTA5 41339",38209,10684,5470,41.4,119,10220,132,102,25
"ZCTA5 41348",30809,1171,559,40.4,8,1154,8,0,0
"ZCTA5 41351",NA,10,10,NA,0,10,0,0,0
"ZCTA5 41352",30592,485,282,56.7,0,485,0,0,0
