Zip Code,Population,Group Visits,Individual Visits,Visits per 10000
11214,96560,4,11.48,1.188898094
11215,67493,5,14.35,2.126146415
11216,61251,5,14.35,2.342818893
11217,42417,3,8.61,2.029846524
11218,78642,1,2.87,0.36494494
11221,89222,2,5.74,0.643339087
11222,41957,2,5.74,1.368067307
11225,58786,4,11.48,1.952845916
11226,101727,4,11.48,1.128510622
11231,37240,2,5.74,1.541353383
11232,30181,1,2.87,0.950929393
11233,75399,1,2.87,0.380641653
11237,49418,3,8.61,1.742280141
11238,60090,4,11.48,1.910467632
11358,40435,1,2.87,0.70978113
11362,18139,1,2.87,1.582226143
11366,14430,3,8.61,5.966735967
11372,68000,2,5.74,0.844117647
11377,91512,1,2.87,0.313620072
11378,38288,1,2.87,0.749582115
11414,27320,1,2.87,1.050512445
11692,22776,2,5.74,2.520196698
11702,14580,2,5.74,3.936899863
11703,16635,1,2.87,1.725278028
11720,28623,1,2.87,1.002690144
11746,69040,2,5.74,0.831402086
11756,42501,1,2.87,0.675278229
11768,21433,1,2.87,1.339056595
11772,44459,1,2.87,0.645538586
12010,28845,1,2.87,0.994973132
12019,15826,1,2.87,1.813471503
12065,43893,1,2.87,0.653862803
12207,2399,1,2.87,11.96331805
12302,27618,1,2.87,1.039177348
12309,31273,6,17.22,5.506347328
12484,2809,1,2.87,10.21715913
12508,19537,1,2.87,1.469007524
12525,3359,2,5.74,17.08841917
12533,26147,1,2.87,1.097640265
12538,14181,1,2.87,2.023834708
12561,18726,2,5.74,3.065256862
12571,9600,1,2.87,2.989583333
12572,9258,2,5.74,6.200043206
12790,4817,1,2.87,5.958065186
12816,4366,1,2.87,6.573522675
12943,478,1,2.87,60.041841
12944,4088,1,2.87,7.020547945
13021,38479,2,5.74,1.491722758
13031,16335,1,2.87,1.756963575
13035,8226,1,2.87,3.488937515
13108,6054,1,2.87,4.740667327
13219,15436,1,2.87,1.859289971
13339,6646,4,11.48,17.273548
13413,15574,1,2.87,1.842814948
13820,21605,1,2.87,1.328396205
13850,22135,1,2.87,1.296589112
14063,13028,3,8.61,6.608842493
14086,35010,1,2.87,0.819765781
14094,50969,1,2.87,0.563087367
14219,11593,1,2.87,2.475631847
14223,22658,1,2.87,1.266660782
14472,8566,2,5.74,6.700910577
14534,32834,1,2.87,0.874093927
14609,41329,2,5.74,1.388855283
14612,34844,1,2.87,0.82367122
14618,23998,1,2.87,1.195932994
14620,24185,3,8.61,3.560057887
14622,11930,2,5.74,4.811399832
